+-----------+---------------------+
|   CityId  | Miasto              |
|-----------+---------------------|
|         1 | Warszawa            |
|         3 | Kraków              |
|         4 | Łódź                |
|         5 | Wrocław             |
|         6 | Dębica              |
|         8 | Poznań              |
|        10 | Bydgoszcz           |
|        12 | Bielsk Podlaski     |
|        17 | Katowice            |
|        20 | Olsztyn             |
|        21 | Opole               |
|        24 | Szczecin            |
|        43 | Konin               |
|        45 | Trójmiasto          |
|        49 | Lublin              |
|        60 | Gorzów Wielkopolski |
|        63 | Elbląg              |
|        70 | Białystok           |
|        71 | Kostrzyn nad Odrą   |
|        73 | Toruń               |
|        74 | Rzeszów             |
|        80 | Mielec              |
|        81 | Wałbrzych           |
|        83 | Brzesko             |
|        84 | Częstochowa         |
|        85 | Kłobuck             |
|        87 | Lubliniec           |
|        88 | Inowrocław          |
|        89 | Łomża               |
|        99 | Nowa Sól            |
|       100 | Bielsko-Biała       |
|       101 | Kalisz              |
|       112 | Nowy Sącz           |
+-----------+---------------------+

Placowka_Wroclaw	ClinicId
Fabryczna	2100
Legnicka	41
Olawska 97
Swobodna	1338
Wołowska	42
Szewska 6
Dominikański	12
Świdnicka 1792

+--------------+---------------------------------------------------------------------------------------------+
|   ServiceId  | Specjalista                                                                                 |
|--------------+---------------------------------------------------------------------------------------------|
|         3393 | Rtg kości łódeczkowatej - prawej                                                            |
|         3396 | Rtg palca/palców stopy AP + bok/skos - prawej                                               |
|         3808 | Gastroskopia                                                                                |
|         3816 | Kolonoskopia                                                                                |
|         4279 | Rtg noso - gardła                                                                           |
|         4281 | Rtg punktowe zdjęcie zęba                                                                   |
|         4282 | Rtg teleradiogram - cefalometria cyfrowa                                                    |
|         4284 | Rtg zatok przynosowych                                                                      |
|         4285 | Rtg nosa  boczne                                                                            |
|         4286 | Rtg czaszki - PA + bok                                                                      |
|         4288 | Rtg czynnościowe stawów skroniowo  żuchwowych                                               |
|         4290 | Rtg kręgosłupa szyjnego                                                                     |
|         4292 | Rtg czynnościowe kręgosłupa szyjnego                                                        |
|         4294 | Rtg kręgosłupa lędźwiowo  krzyżowego AP + Bok                                               |
|         4295 | Rtg kręgosłupa AP na stojąco - (skolioza)                                                   |
|         4296 | Rtg kręgosłupa lędźwiowo  krzyżowego  skosy                                                 |
|         4297 | Rtg czynnościowe kręgosłupa lędźwiowego                                                     |
|         4298 | Rtg kości krzyżowej i guzicznej                                                             |
|         4299 | Rtg kręgosłupa piersiowego                                                                  |
|         4300 | Mammografia                                                                                 |
|         4304 | Rtg żeber (1 strona) w 2 skosach                                                            |
|         4305 | Rtg mostka/boczne klatki piersiowej                                                         |
|         4306 | Rtg obojczyka - prawego                                                                     |
|         4307 | Rtg łopatki - prawej                                                                        |
|         4311 | Rtg klatki piersiowej                                                                       |
|         4321 | Rtg jamy brzusznej - na leżąco                                                              |
|         4322 | Rtg barku / ramienia AP - prawego                                                           |
|         4324 | Rtg barku / ramienia - osiowe - prawego                                                     |
|         4326 | Rtg łokcia / przedramienia - prawego AP + bok                                               |
|         4327 | Rtg ręki - wiek kostny                                                                      |
|         4329 | Rtg nadgarstka/dłoni PA + bok/skos - lewego                                                 |
|         4330 | Rtg obu nadgarstków/dłoni PA + bok/skos                                                     |
|         4331 | Rtg palec/palce PA + bok / skos - prawej ręki                                               |
|         4332 | Rtg miednicy i stawów biodrowych                                                            |
|         4333 | Rtg stawu biodrowego AP - prawego                                                           |
|         4334 | Rtg stawu biodrowego osiowe - prawego                                                       |
|         4335 | Rtg kości udowej AP + bok - prawej                                                          |
|         4337 | Rtg stawu kolanowego AP + bok - prawego                                                     |
|         4339 | Rtg rzepki osiowe - prawej                                                                  |
|         4341 | Rtg podudzia (goleni) AP + bok - prawego                                                    |
|         4343 | Rtg stopy AP + bok/skos - prawej                                                            |
|         4345 | Rtg stawu skokowo - goleniowego AP + bok - prawego                                          |
|         4350 | USG stawu barkowego                                                                         |
|         4351 | USG stawu łokciowego                                                                        |
|         4353 | USG stawów biodrowych                                                                       |
|         4354 | USG stawu kolanowego                                                                        |
|         4355 | USG stawu skokowego                                                                         |
|         4356 | USG więzadeł, mięśni, drobnych stawów                                                       |
